Course Name,Instructor,Price,Enrolled,Duration,Link,Detail
"(Career Insights) ลงทุนอย่างไรให้ประสบความสำเร็จ? เคล็ดลับจาก""ประพล มิลินทจินดา""",ดร.ประพล มิลินทจินดา,คอร์สฟรี,728,21 นาที,https://futureskill.co/course/detail/1014,"ลงทุนอย่างไรให้ประสบความสำเร็จ? เคล็ดลับจาก""ประพล มิลินทจินดา""📌นักลงทุนหรือเจ้าของธุรกิจเป็นอาชีพที่ใครหลายๆคนอยากที่จะเริ่มต้น แต่คนที่จะประสบความสำเร็จนั้น จะต้องผ่านความผิดพลาด ผ่านวิกฤติต่างๆ ความเสี่ยง และการรับมือกับปัญหาในบทสัมภาษณ์นี้ เราจะพาคุณไปรู้จักกับ▶︎Shark ประพล นักลงทุนตัวพ่อของวงการจะมาเล่า ประสบการณ์ลงทุนตั้งแต่แรกเริ่มและเรื่องที่ไม่เคยบอกใครกับทุกคนได้ฟังกัน ไม่ว่าจะเป็น📋 การลุงทุนและการจัดการการเงิน💰 การลงทุนที่ผิดพลาด💱 ความเสี่ยงต่างๆ🏦 แนวคิดสำหรับคนธรรมดา หรือคนที่กำลังจะทำธุรกิจเพื่อเป็นการสร้างแรงบันดาลใจให้กับผู้ที่สนใจการลงทุน แนวคิดการลงทุนเริ่มต้นและ เข้าใจความเสี่ยงต่างๆและเกร็ดเล็กเกร็ดน้อยที่จะมาบอกผู้ที่เริ่มต้นควรเริ่มจากอย่างไร"
ทำคลิป TikTok Affiliate อย่างไรให้มีโอกาสในการขายสูง,วุฒิพงษ์ ลิขิตชีวัน,฿590.00,258,1.07 ชม. ,https://futureskill.co/course/detail/1000,คอร์สนี้เหมาะกับใครคนที่กำลังมองหาช่องทางการสร้างรายได้เสริมมือใหม่ที่เริ่มมีความสนใจในการทำ TikTok Affiliate แต่ไม่รู้จะเริ่มต้นยังดีคนที่ทำ Tiktok Affiliate อยู่แล้วแต่เจอปัญหาต่างๆ ทำให้ขายสินค้าไม่ดีวัตถุประสงค์ของคอร์สเรียนเพื่อให้ผู้เรียนเข้าใจหลักขององค์ประกอบคลิป TikTok Affiliate ที่ดี สามารถทำคลิปตามแต่ละประเภทได้ และรู้จักการเลือก MCN เพื่อต่อยอดเป็นครีเอเตอร์ที่ได้ประโยชน์สูงสุดCourse Highlightเจาะลึกประเภทและวิธีการทำคลิป TikTok Affiliate ในแบบฉบับอาตี๋รีวิว โดยจะพาไปรู้จักกับ 3 ประเภทคลิปที่เหมาะกับการทำ Affiliate รวมไปถึงเจาะลึกในแต่องค์ประกอบที่ช่วยทำให้คลิปของคุณสร้างรายได้แตะหลักล้าน!โปรแกรมที่ต้องใช้ / สเปคคอมTIktok
รู้จัก TikTok Affiliate เริ่มต้นเป็นนายหน้าคว้าเงินล้านแบบง่าย ๆ,วุฒิพงษ์ ลิขิตชีวัน,฿590.00,293,59 นาที,https://futureskill.co/course/detail/999,คอร์สนี้เหมาะกับใครคนที่กำลังมองหาช่องทางการสร้างรายได้เสริมมือใหม่ที่เริ่มมีความสนใจในการทำ TikTok Affiliate แต่ไม่รู้จะเริ่มต้นยังดีคนที่ทำ Tiktok Affiliate อยู่แล้วแต่เจอปัญหาต่างๆ ทำให้ขายสินค้าไม่ดีวัตถุประสงค์ของคอร์สเรียนเพื่อให้ผู้เรียนเข้าใจหลักและวิธีการทำงานของ TikTok Shop Affiliate สามารถเลือกสินค้าที่เพิ่มโอกาสในการขายได้สูงและจัดการ Showcase ร้านค่าได้อย่างมีประสิทธิภาพCourse Highlightทำความรู้จักกับ TikTok Affiliate นายหน้าขายสินค้าบน TikTok สร้างเงินหลักล้านได้ง่ายๆ ด้วยการทำคลิปโดยใช้โทรศัพท์เพียงเครื่องเดียว แชร์จากประสบการณ์ตรงของตี๋โอที่ได้เงินจาก Affiliate มาแล้วหลักร้อยล้านโปรแกรมที่ต้องใช้Tiktok
รู้จักผู้นำแบบ Introvert มาค้นพบสไตล์การเป็นผู้นำที่เหมาะกับคุณ,นภัสสร ลีระสันทัดกุล,฿390.00,259,24 นาที,https://futureskill.co/course/detail/998,"Shortcut นี้เหมาะกับใครบุคคลทั่วไปที่เป็น Introvert และสนใจพัฒนาศักยภาพด้านการเป็นผู้นำ หรือสนใจศึกษาแนวทางการเป็นผู้นำรูปแบบต่างๆผู้นำปัจจุบันที่ต้องการปรับปรุงสไตล์การเป็นผู้นำแบบ Introvert ของตัวเอง ให้ดียิ่งขึ้นShortcut นี้ได้เรียนอะไรบ้างค้นพบสไตล์การเป็นผู้นำแบบ Introvert ที่เหมาะกับตัวเอง:เข้าใจพฤติกรรมและสไตล์คนแบบ Introvert ,Extrovert และ Ambivert รวมทั้งระบุสไตล์ที่เหมาะสมกับจุดแข็งและความมุ่งหวังของคุณเข้าใจแนวคิดผู้นำแบบ Introvert:เจาะลึกพฤติกรรมและข้อดีของการเป็นผู้นำแบบ Introvert เพื่อสร้างความเข้าใจที่ลึกซึ้งยิ่งขึ้นเกี่ยวกับศักยภาพของผู้นำแบบ Introvertเสริมพลังผู้นำแบบ Introvert:ค้นพบข้อได้เปรียบเฉพาะตัวที่บุคลิกภาพ Introvert นำมาสู่บทบาทผู้นำ เรียนรู้วิธีใช้ประโยชน์จากจุดแข็งด้านการฟัง การวิเคราะห์ ความเห็นอกเห็นใจ และการแก้ปัญหา เพื่อสร้างแรงบันดาลใจและการเป็นผู้นำที่ดียิ่งขึ้นShortcut HighlightShortcut นี้มุ่งเน้นที่จะเสริมพลังให้ผู้ที่เป็น Introvert ได้มองเห็นจุดแข็งในตัวเอง และค้นพบสไตล์การเป็นผู้นำที่เหมาะกับตนเอง ผู้เรียนจะได้เข้าใจพื้นฐานของผู้นำสไตล์นี้ เห็นตัวอย่างผู้นำแบบ Introvert ที่ประสบความสำเร็จ รวมทั้งจะได้รับแนวทางในการพัฒนาตัวเองเพื่อที่จะเป็นผู้นำที่ดีในแบบ Introvert"
สร้างระบบการทำงานอัตโนมัติให้งาน HR ด้วย Power Automate,ปภังกร เจียมตน,฿590.00,75,1.09 ชม. ,https://futureskill.co/course/detail/997,"﻿คอร์สนี้เหมาะกับใครพนักงานออฟฟิศที่กำลังเผชิญปัญหากับงาน Operation ต่าง ๆ ที่ทำให้สูญเสีย Productivity ในการทำงานพนักงานที่อยากเพิ่มทักษะการใช้งานโปรแกรมในกลุ่ม MS365 ให้เกิดประสิทธิภาพมากที่สุด (โดยเฉพาะ Power Automate)HR / หัวหน้างาน / ผู้ที่ต้องทำงานเกี่ยวกับการออกแบบ Training & Development Roadmap ในองค์กร และทำงานเกี่ยวข้องกับการพัฒนาทรัพยากรบุคคลCourse Highlightในคอร์สนี้จะพูดถึงการประยุกต์ใช้โปรแกรม Power Automate กับงานด้าน HR เพื่อให้งานที่ซ้ำซ้อนมีความเป็นอัตโนมัติมากขึ้น เช่น การส่งอีเมลแจ้งเตือนกำหนดการสำคัญต่าง ๆ ของบริษัทให้คนทั้งองค์กร หรือ การสร้าง Flow ขออนุมัติลาหยุด เป็นต้นพื้นฐานที่จำเป็น?/สิ่งที่ต้องมีการใช้งาน Microsoft Power Automate เบื้องต้น (โดยเฉพาะประเภท Cloud Flow)การใช้งาน Microsoft Platform เบื้องต้น เช่น Sharepoint, Excel, Form เป็นต้นการใช้งาน Google Platform เบื้องต้น เช่น Gmail, Google Drive, YouTube เป็นต้น﻿โปรแกรมที่ต้องใช้ / สเปคคอมMicrosoft Power Automate (แบบ Cloud Flow ใช้ผ่าน Web Browser ได้)OneDrive"
การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศ,ปภังกร เจียมตน,฿590.00,115,1.55 ชม. ,https://futureskill.co/course/detail/996,"คอร์สนี้เหมาะกับใครพนักงานออฟฟิศที่กำลังเผชิญปัญหากับงาน Operation ต่าง ๆ ที่ทำให้สูญเสีย Productivity ในการทำงานพนักงานที่อยากเพิ่มทักษะการใช้งานโปรแกรมในกลุ่ม MS365 ให้เกิดประสิทธิภาพมากที่สุด (โดยเฉพาะ Power Automate)Course Highlightพนักงานออฟฟิศทุกคนน่าจะต้องเผชิญกับการทำงาน Manual หรืองานที่ต้องทำซ้ำ ๆ โดยในคอร์สนี้เราจะพาทุกคนมาใช้โปรแกรม Power Automate เพื่อเปลี่ยนการทำงานซ้ำซ้อนให้เป็นอัตโนมัติมากขึ้น ซึ่ง Power Automate นั้นมีข้อดีที่ไม่ต้องเขียนโค้ด หรือถ้าต้องเขียนก็จะเป็นแบบ Low Code คือใช้ทักษะการเขียนโค้ดที่น้อยมาก ๆพื้นฐานที่จำเป็น?/สิ่งที่ต้องมีการใช้งาน Microsoft Power Automate เบื้องต้น (โดยเฉพาะประเภท Cloud Flow)การใช้งาน Microsoft Platform เบื้องต้น เช่น Sharepoint, Excel, Form เป็นต้นการใช้งาน Google Platform เบื้องต้น เช่น Gmail, Google Drive, YouTube เป็นต้น﻿โปรแกรมที่ต้องใช้ / สเปคคอมMicrosoft Power Automate (แบบ Cloud Flow ใช้ผ่าน Web Browser ได้)OneDrive"
 วิธีสร้างสมาธิฮีลใจ ให้โฟกัสกับงานอย่างมีความสุข,นภัสสร ลีระสันทัดกุล,฿390.00,432,30 นาที,https://futureskill.co/course/detail/994,Shortcut นี้ได้เรียนอะไรบ้างShortcut นี้จะพาทุกคนไปสู่ช่วงเวลาของการหยุดพัก ทบทวน และตั้งหลักในการทำงานของตัวเองใหม่อีกครั้ง เรียนรู้การใช้หลักการฝึกสมาธิแบบง่าย เพื่อให้สามารถจัดการกับการทำงานและการใช้ชีวิตที่รีบเร่งและรับผิดชอบหลายอย่าง ให้สามารถโฟกัสกับการทำงานได้อย่างมีความสุขและมีประสิทธิภาพมากยิ่งขึ้น เรียนรู้วิธีการฝึกสมาธิแบบง่ายๆ สามารถทำตามและประยุกต์ใช้ในชีวิตประจำวันได้เลยShortcut Highlightสถานที่ทำงานมักเป็นสภาพแวดล้อมที่เร่งรีบและกดดัน เราจะฝึกสติอย่างไร ท่ามกลางงานยุ่งเหยิงในแต่ละวัน? ไม่ว่าจะเป็นงานนำเสนอ อีเมลล์ โทรศัพท์ การประชุม ใน Shortcut นี้เราจะมาเรียนรู้การประยุกต์ใช้หลักการของสติ เพื่อให้รู้สึกมีชีวิตชีวา ตื่นตัว และยังคงมีประสิทธิภาพในการทำงาน﻿Shortcut นี้เหมาะกับใครเหมาะกับทุกคนที่อยากจะสร้างพื้นที่พักผ่อนทางใจให้ตัวเอง ท่ามกลางความเครียด กดดันจากการทำงาน ใช้เวลาสั้นๆ เพื่อเรียนรู้หลักการของสมาธิ และยังเหมาะสำหรับคนที่อยากเริ่มต้นฝึกฝนกับการโฟกัส และเข้าใจกับความคิดตัวเองมากยิ่งขึ้น
ใช้ ChatGPT สร้างงานนำเสนอใน Google Slide & Canva,ปภังกร เจียมตน,฿590.00,468,1.04 ชม. ,https://futureskill.co/course/detail/981,เส้นทางในการเรียนซีรีส์ เพิ่มประสิทธิภาพในงานออฟฟิศด้วย AI และระบบการทำงานอัตโนมัติ เรียนตามลำดับดังนี้1.วิธีใช้งาน ChatGPT ช่วยวิเคราะห์ข้อมูลใน Google Sheet สำหรับงานขายและงานการตลาดhttps://futureskill.co/course/detail/9792.สร้างงานเขียนที่มีคุณภาพด้วย ChatGPT ใน Google Dochttps://futureskill.co/course/detail/9803.ใช้ ChatGPT สร้างงานนำเสนอใน Google Slide & Canvahttps://futureskill.co/course/detail/9814.การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศComing Soon5.สร้างระบบการทำงานอัตโนมัติให้งาน HR ด้วย Power AutomateComing Soonคอร์สนี้เหมาะกับใครกลุ่มคนที่เคยเรียน ChatGPT มาแล้ว และอยากเรียนรู้ในมุมที่ Advance มากยิ่งขึ้น ว่า ChatGPT มีศักยภาพในการเพิ่มประสิทธิภาพการทำงานในชีวิตประจำวันได้อย่างไรบ้างกลุ่มพนักงานออฟฟิศที่กำลังเผชิญปัญหากับงาน Operation ต่าง ๆ ที่ทำให้สูญเสีย Productivity ในการทำงาน เช่น สร้างโพสต์โปรโมทร้านค้าใน Facebook สร้างสไลด์นำเสนองานผู้บริหาร เป็นต้นCourse Highlightไม่เพียงแต่งานเชิง Logic หรือการคำนวณเท่านั้น แต่ ChatGPT ยังสามารถนำมาช่วยในงานเชิงไอเดีย การสร้างสรรค์ได้ด้วยเช่นกัน ในคอร์สนี้จะพามาเรียนรู้การประยุกต์ใช้ ChatGPT กับ Google Slide และ Canva เช่น การสร้างสไลด์สำหรับนำเสนองานในที่ประชุม หรือใช้ ChatGPT ช่วยทำภาพ Thumbnail เพื่อโปรโมทลง Social Media สำหรับงาน Marketing ซึ่งทั้งหมดนี้จะช่วยลดระยะเวลาในการทำงานของคุณไปได้มากทีเดียวพื้นฐานที่จำเป็น?/สิ่งที่ต้องมีการใช้งาน ChatGPT เบื้องต้นการใช้งาน Google Slide & Canva เบื้องต้น﻿โปรแกรมที่ต้องใช้ / สเปคคอมGoogle Slide (ฟรี)Add-on (Extension) : GPT for Docs (ฟรี)ChatGPT License Plus (20$ / Month) สำหรับเชื่อมต่อกับ Canva
สร้างงานเขียนที่มีคุณภาพด้วย ChatGPT ใน Google Doc,ปภังกร เจียมตน,฿590.00,183,1.11 ชม. ,https://futureskill.co/course/detail/980,เส้นทางในการเรียนซีรีส์ เพิ่มประสิทธิภาพในงานออฟฟิศด้วย AI และระบบการทำงานอัตโนมัติ เรียนตามลำดับดังนี้1.วิธีใช้งาน ChatGPT ช่วยวิเคราะห์ข้อมูลใน Google Sheet สำหรับงานขายและงานการตลาดhttps://futureskill.co/course/detail/9792.สร้างงานเขียนที่มีคุณภาพด้วย ChatGPT ใน Google Dochttps://futureskill.co/course/detail/9803.ใช้ ChatGPT สร้างงานนำเสนอใน Google Slide & Canvahttps://futureskill.co/course/detail/9814.การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศComing Soon5.สร้างระบบการทำงานอัตโนมัติให้งาน HR ด้วย Power AutomateComing Soonคอร์สนี้เหมาะกับใครกลุ่มคนที่เคยเรียน ChatGPT มาแล้ว และอยากเรียนรู้ในมุมที่ Advance มากยิ่งขึ้น ว่า ChatGPT มีศักยภาพในการเพิ่มประสิทธิภาพการทำงานในชีวิตประจำวันได้อย่างไรบ้างกลุ่มพนักงานออฟฟิศที่กำลังเผชิญปัญหากับงาน Operation ต่าง ๆ ที่ทำให้สูญเสีย Productivity ในการทำงาน เช่น การสร้างใบเสนอราคาให้ลูกค้า การตรวจสอบและแก้ไขแกรมมาร์ เป็นต้นCourse Highlightเชื่อว่าหลายท่านน่าจะเคยทำงานเอกสารผ่าน Google Doc กันมาบ้าง เช่น ใบเสนอราคา ใบแจ้งหนี้ ซึ่งงานเหล่านี้สามารถใช้ ChatGPT เข้ามาช่วยเพื่อความรวดเร็วมากยิ่งขึ้นได้ โดยในคอร์สนี้จะพาทุกท่านมาเรียนรู้การใช้ ChatGPT ใน Google Doc เพื่อสร้างงานเอกสารที่เราต้องการ แก้ไขเอกสารเดิมที่มีอยู่แล้ว ตรวจสอบการสะกดคำและแก้ไขแกรมมาร์สำหรับบทความภาษาอังกฤษต่าง ๆ และช่วยสรุปเนื้อหาให้เราด้วยพื้นฐานที่จำเป็น?/สิ่งที่ต้องมีการใช้งาน ChatGPT เบื้องต้นการใช้งาน Google Doc เบื้องต้นโปรแกรมที่ต้องใช้ / สเปคคอมGoogle Doc (ฟรี)Add-on (Extension) : GPT for Docs (ฟรี)
วิธีใช้งาน ChatGPT ช่วยวิเคราะห์ข้อมูลใน Google Sheet สำหรับงานขายและงานการตลาด,ปภังกร เจียมตน,฿590.00,249,1.20 ชม. ,https://futureskill.co/course/detail/979,เส้นทางในการเรียนซีรีส์ เพิ่มประสิทธิภาพในงานออฟฟิศด้วย AI และระบบการทำงานอัตโนมัติ เรียนตามลำดับดังนี้1.วิธีใช้งาน ChatGPT ช่วยวิเคราะห์ข้อมูลใน Google Sheet สำหรับงานขายและงานการตลาดhttps://futureskill.co/course/detail/9792.สร้างงานเขียนที่มีคุณภาพด้วย ChatGPT ใน Google Dochttps://futureskill.co/course/detail/9803.ใช้ ChatGPT สร้างงานนำเสนอใน Google Slide & Canvahttps://futureskill.co/course/detail/9814.การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศComing Soon5.สร้างระบบการทำงานอัตโนมัติให้งาน HR ด้วย Power AutomateComing Soonคอร์สนี้เหมาะกับใครกลุ่มคนที่เคยเรียน ChatGPT มาแล้ว และอยากเรียนรู้ในมุมที่ Advance มากยิ่งขึ้น ว่า ChatGPT มีศักยภาพในการเพิ่มประสิทธิภาพการทำงานในชีวิตประจำวันได้อย่างไรบ้างกลุ่มพนักงานออฟฟิศที่กำลังเผชิญปัญหากับงาน Operation ต่าง ๆ ที่ทำให้สูญเสีย Productivity ในการทำงาน เช่น การแก้ไขข้อมูลใน Google Sheet การหา Insight จากข้อมูลยอดขาย เป็นต้นCourse Highlightในคอร์สนี้จะพาผู้เรียนมาเพิ่ม Productivity ในการทำงานให้กับตนเอง ผ่านการใช้ ChatGPT ใน Google Sheet โดยจะเน้นไปที่งานด้านการขายและการตลาดเป็นหลัก โดย ChatGPT สามารถช่วยงานได้มากมาย ไม่ว่าจะเป็นการการแก้ไขข้อมูล เช่น ค่า Error ค่า Missing Value เป็นต้น หรือ ใช้ ChatGPT ช่วยวิเคราะห์ข้อมูล หา Insight ที่น่าสนใจต่าง ๆ จากยอดขายพื้นฐานที่จำเป็น?/สิ่งที่ต้องมีการใช้งาน ChatGPT เบื้องต้นการใช้งาน Google Sheet เบื้องต้นโปรแกรมที่ต้องใช้ / สเปคคอมGoogle Sheet (ฟรี)Add-on (Extension) : GPT for Docs (ฟรี)
